Tweet,Classification
You must SCHIZO CATHOLIC OR NAZI OR BOTH!!! E=mI...DIPSHIT!!! @TexanInOz,2
@fuckupyouidiot_ ?????? some of those questions were strange so the test isn't real ?????? we're all proud of you ???????? schizophrenic personality disorder is harsh based on that quiz ??????,1
I am my own worst enemy. https://t.co/NIzACv5MfI,0
"#BellLetsTalk about the people dealing with:
Anxiety
PTSD
Depression
ADD/ADHD
Schizophrenia
Bipolar Disorder
Dementia
OCD

Help is out there.",0
"Maya- Roses are red, violets are blue, I'm schizophrenic, and so am I! #notreally https://t.co/BOcE6vAB5r",2
Corey Booker looks psychotic,2
"#????_????
 #????_????_????_?????
 #????_?????_????
 #YallaYaAhly
#????? 
https://t.co/IDWchrCREf",
"@amy4thepeople @MCaseWV @nowthisnews Hey Democrats, please stop shooting off someones shoulders and also  creating an elusion & fear psychosis that all woman supports  Democrats. Not all but it's only black woman, and in fact more white man support Dem th",1
"@mattyglesias All White (pan European) men are created equal is what they meant.

Later as they abolished slavery they gave citizenship to those slave descendents. Ffs you Jewish extremists and your schizophrenic revisionist history... https://t.co/RMeUDJ",2
"@WestSideJack37 @ToddNickerson1 @timothymstout @OwenBenjamin Just as a thought experiment (I don‘t believe it, just to clear), what if it‘s a condition like schizophrenia?",0
@TowersDr Erin works at UBC in Neuroscience research for Schizophrenia. I head her speak nearly 2 years ago when she'd been well for about 7 years at the time. It was a very frank talk about the trauma she'd suffered at the hands of security & staff when ,0
"hey here’s a trick, try not being a psychotic piece of garbage w the sense of humor of a 5 year old. you’re an ADULT for god sakes try acting like one",2
"Doing a little reading on West African ""men of God"". Very thrilling. For example, ""Prophecy and psychosis:... https://t.co/nf0MyTCpeQ",0
"@PhyNbreDor @Lenine13 @FranceInsoumise @JLMelenchon @gauchedissident @bateau_insoumis @baljeetkaur900 Les religions éclairées par le phare de recul.
APOCALYPSE NOW.  
https://t.co/BaqpGaVIcC
Croyants: mais comment faites-vous pour croire tous ces malades ",
If you can even find a Dr that would take care of your Mental Illness. We can't find a Dr that wants to take care of our son with #Schizophrenia  Please keep talking! We can't make a difference without all of you https://t.co/0VG8gxsaKE,0
@5th_Ape @PaulDOlivier @orna_verum @EBatterson @jandrew62956555 @jon_hill987 @luv2research @Good_Lt @Conspiracy_dog @crypt_oguru @Charlesthornt @onnlucky @HaircutSpock @robster16a @CephalopodsRule @C_82l @High_Priest_Dog @jackiebarbosa @hauxton @Jesus_is_,0
"Wow, that's amazing. I'm beyond grateful for organizations like yours who want to educate others. I agree, our youth is the future and they need not to feel alone during their mental health journey. https://t.co/bNLERlJ1gS",0
Do you know the real facts about Schizophrenia? https://t.co/dkW3xfdGrB #schizophrenia #mentalhealth,0
"@krassenstein @RepAdamSchiff @MarkWarner @chuckschumer @NancyPelosi @SpeakerRyan You are a freak and worry about the exact people you are calling on to protect you. 
This is the problem.  Your psychosis is the problem. 

You are blind!",2
"Insanity: ""mental illness of such a severe nature that a person cannot distinguish fantasy from reality, cannot conduct her/his affairs due to psychosis, or is subject to uncontrollable impulsive behavior."" Washington Post apparently needs a psychiatrist & lots of recovery time. https://t.co/kASRzYM5Ta",0
"my reasoning: w/ BPD you get emotional instability, impulsivity, lots of contradictory, simultaneous feelings like; thinking you’re sub-human while also thinking you’re better than everyone else, being emotionally numb and over emotional. If it’s really bad, you can be psychotic.",0
"For the record, “hearing god” is a sign of schizophrenia, not enlightenment. #SOTU",1
Prolly cuz he’s a ‘junuuni ashiq’ even tho idnt lyk hm at all smh https://t.co/NdNUQdA73Q,
"Great word for etymology.??
Euneirophrenia can be broken into 3 Greek parts.

-Eu from eus, ""good/well."" Eg euphoria, euthanasia etc.
-Oneiros from the Mythical daemon brothers, Oneiroi, who governed dreams.
-Phrenia, ""state of mind."" Eg schizophrenia is ""split + state of mind."" https://t.co/OwqSrHHxm3",0
"@Taffy_Tart @Bigcat1958 @snooze_cat @B1GF007 @MichaelOrdona @SallyQYates Agree! but this isn't too bad compared to most of the idiotic, schizophrenic crap I've read from his supporters, some scary people!",2
@markhoppus that thing you showed me...is who has schizophrenia by way of central ohio that girl?,1
For ALL THESE REASONS...I'M TAKING OUT YOUR SCHIZO RELIGION!!!,2
"@joshgroban its true guys,i have severe depression/ptsd,my bro,is BIPOLAR,and has schizophrenia",0
"In our age there is no such thing as 'keeping out of politics.' All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia. - George Orwell 
#TuesdayThoughts #SOTU",1
"#Virgo signs are sexually schizophrenic. On one hand they are all prim and proper, but when the mood strike, holy shit!",2
#BellLetsTalk did you know that those suffering from psychosis are more likely to be a victim of a violet crime than commit one?,0
"Isultrator™ lessens heart failure. Women may experience elevated psychosis, cysts, and increased decapitation.",0
krystal on the bachelor is so fucking psychotic it’s actually hilarious,2
#Mitochondrial Dysfunction may be involved in Bipolar Disorder. Complex I dysfunction may be an important finding #bipolardisorder #Schizophrenia @PsychToday @Psych_USA @PsychScience. Further research can lead to effective treatments https://t.co/t1mSJOSN9B,0
"@GoldHardShell @Atomiczilla_com It gets worse the route of the word schizophrenia is from the Greek  schizien- to split and phren- mind
Sounds a bit like MPD or DID to me
Greek psyche- soul/breathe and trist part = healer
Insidiously hidden in plain sight",0
Trafic d’héroïne – Un?Malgache?trahi?par?son?cure-dent https://t.co/PanhVPs33B,
@objectivistgamr @RadFemme74 @parislees Gender dysphoria persists through anti-psychotic treatment. You are on par with a climate change denialist right now.,0
@_maevabnl C’est un gros schizo ton voisin mdr,
"#BellLetsTalk about spreading awareness about less represented mental illnesses like bpd or ed or schizophrenia, etc",0
I liked a @YouTube video https://t.co/7UbRxGScYR The Things I See Living With Psychosis 2017 720p,0
"No, it means you're schizophrenic. https://t.co/2LgGwGTxSt",1
"@PerrineST Qd j’ai vu les images aux infos sans savoir que c’était lui, j’ai cru au frère de la victime... Il a l’air complètement schizo...??",
"¡Ya puedes leer nuestra crítica de ""Psychosis"" de CAVALERA CONSPIRACY! https://t.co/NLoRIlWh64 https://t.co/8xibm4hqkC",
"(Pulls off his headphones and hears psychotic screaming) 

(Calls Cas) https://t.co/0PlZuMqPND",1
@lkearcher Binging Mindhunter. I'm sure it's less psychotic than what went on in DC,1
"@slooterman This is how I managed to go undiagnosed for 20+ years. Interestingly, they said the same thing about psychosis, and guess the punchline to THAT joke!",0
@Jeggit @murdo_fraser Murdo Fraser has no ambition to change anything except for running his fking big mouth a pathetic traitor and drunk also a schizophrenic delusional paranoid freak of nature,2
"@InfraRedRum I think that's what makes mental health disorders so frustrating. You can quantify/stage a bacterial infection or cancer; you can't do that with schizophrenia or depression, etc. I agree with your last point. Being perfectly honest, it's why ",0
??????????????????? negative symptoms ??? Schizophrenia,
"Legion (2017)

This is a story about Prof. Charles Xavier's son. David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever. https://t.co/LtwcspxuQk",0
Dublin dad took his own life after steroids addiction to 'bulk up' for wedding https://t.co/S5RO3KRnX8,0
You SCHIZOS ARE FUCKING PATHETIC AND THIS HALF SIB THAT YOU LABELED LUCIFER IS TAKING YOU PIGS OUT....CAPHEESH???....SCHIZO LIAR FUCKING RELIGIOUS SCUM....,2
"@mattgallowaycbc It may be time for a conversation on, cannabis induced psychosis.",0
"PRESENTATION DU PLAN « FISANDRATANA 2030 » AU PALAIS D’IAVOLOHA, PAR LE PRESIDENT DE LA REPUBLIQUE https://t.co/AD1XhgID3s",
"Thank you to Dr. Granger @CANTABconnect & Dr. Brannan for the great webinar on Schizophrenia Trials and Overcoming Methodological Challenges to Enhance Study Success
https://t.co/J9h49vKU0x",0
#RealCrime is stranger than fiction: Serial killer tried to burn victim’s bodies in pig roaster - https://t.co/g8Gwvo9kDi https://t.co/ABqiXOdeHm,0
@WiredSources keep talking Nancy.   The more you talk---case study for something called schizophrenia,1
"@reacctionary Nothing poor about carrot only his mental capability to act like a  
schizophrenic no wonder he fits in well with picken??",2
PARENTS YOU ARE LITERALLY FUCKING INSANE AND ARE RAISING YOUR CHILDREN TO BE FUCKING PSYCHOTIC LITTLE SHITS IF YOU THINK ITS APPROPRIATE TO DRIVE OUTSIDE OF SOMEONES HOME AND WAIT FOR THEM OUTSIDE JUST TO ASK FOR A PHOTO. THAT IS NOT NORMAL. THAT IS NOT OKAY. YOU ARE A PROBLEM.,2
"As an unmedicated schizophrenic, Walter was misunderstood by many and regarded by fellow islanders as either a prophet or a fool. 
 https://t.co/VfyvzMMcKt via @YouTube",0
"@El_que_te_dije finally ""generate a property that allows us to maintain and promote a safety net and
trust that can accept and respect the diversity and complexity of each one of
its members; and also that this capacity of families must have a protective ",0
We're more psychotic than the gang members. Like that says much. #SOTU,2
"Please reply to this tweet with good Wattpad fanfics.
IVE REad PRISONER, 24 HOURS, PSYCHOSIS, AND DADDY ISSUES.
I need something else",0
"@kwyjibae recovery, which is why they have to be made for them and from what I've seen in different units some are actually verbally not able to make decisions because they're so ill with conditiona such as psychosis and schizophrenia ETC",0
"Madagascar, pour la promotion d’une filière cacao durable https://t.co/4Dk1L4w08O",
schizo-shane-phrenic #cbb,2
@AJ_Dooher schizo ur screenshots are fake,2
"Internally or with friends.  This is A reality of the schizophrenic misdiagnosis.  A lesser creative accuses patient, no patience does the same.",0
"Roses are red, violets are blue, I'm schizophrenic, and so am I! #notreally
csd https://t.co/MeLGpmnfog",2
4 opérateurs JavaScript que vous ne connaissez pas https://t.co/0phdc229Vj,
"Drug addict and paranoid schizophrenic Sanchez Edwards will be sentenced today for violent robbery on woman, 92, in #Hoxton https://t.co/i6nrUM210B",1
"#BellLetsTalk about mental illnesses  like dissociative disorders, conduct disorders, the schizophrenia spectrum, and dissociative identity disorder! They’re always looked over and depicted as scary. People who have these disorders deserve help and support too",0
"@dblankspace @peoplerespond @nowthisnews Listen, I don’t want to take away your guns. But my neighbor with schizophrenia and the man who tried to kill me shouldn’t have them. Do you agree with that at least?",2
Today we filming a powerful documentary of a tertiary tutor who was schizophrenic many years ago. Spent some time in a mental hospital but went on to become a university graduate and lecturer ????????????????,0
@adreian24 You got schizophrenia,1
"NO ONE CARES ABOUT CRAZY PEOPLE by Ron Powers is a memoir by the father of two schizophrenic sons, Dean and Kevin. https://t.co/FwPz0FpHk7 https://t.co/UrDONwhMzI",0
"Paul Gosar is a RWNJ who parrots Infowars Conspiracy theories as facts, such as the Nazi March in Charlottesville being a false flag attack set up by George Soros.  He is a psychotic thug who wraps himself in the flag as he attacks American values. https://t.co/s1qSvww3ML",2
The way @NICKIMINAJ switches personalities while she raps is not normal. Schizophrenia for rap is a better term ?? #diditonem #barbie,2
Western University schizophrenia study helps find personalized treatment https://t.co/ZdM0JylL48,0
"know more about #schizophrenia join us : @Psychiatry and @MentalHealth 2018
 For more details Download our brochure at :https://t.co/fgCyJflstG https://t.co/w9PtVLREi8",0
"Steven went totally Schizophrenic just recently.
I honestly feel bad for him. Being easily manipulated into believing everything someone says...
And all I had to say was that the person was lying to him to stir up drama.
I swear, some people live on other's innocence.",1
"Psychologically, attempting to suppress negative emotional memories can destroy you and push you further into depression &amp; psychosis.",0
"Boy, can the goverment put anti psychotic meds in the moutain dew already.",2
"Having a Schizo while working on YouTube. @ Glendale, Arizona https://t.co/dLvGOsKwAT",2
Fampianarana ambony : Miady an-trano indray ny Seces https://t.co/AfqWtfot1t,
"""I matched with a schizophrenic guy because he had a face tattoo."" - @BayleaStewart",1
"The brain? Not so much. Where is the emergency room for mental illness? Where does my child go during periods of severe psychosis or hallucinations? Yes, the regular hospital, where specialists and services are almost non-existent. #BellLetsTalk",0
Slam : Benson & Jao kely au Pas Sage https://t.co/IOocagVA0o https://t.co/Z9edx9YpsK,
Wüsste auch gern wer meine zweite seite ist wenn ich schizo bin #ibes,
she didn’t gouged her eyes bc she was having a schizophrenic episode; she gouged her eyes out because she was high on meth,1
"He is mentally ill . Neurotic , psychotic, obsessive , criminally inclined .. he needs to be in a strait jacket .
https://t.co/bNF2rMzDo4",2
"Saleh Moslem: Turkey kills Kurds in Afrin with European weapons https://t.co/0KGeiXN8T8
Russian spy case without evidence? however, even if it seems absurd schizophrenic unfair and insane: however: GB, USA, France and Germany accuse Moscow. https://t.co/rQznRFkAcD",2
"@Newsweek Well said Mr Hawking!  Even after all of the hardcore psychosis, embarrassment, humiliation & being a near lifelong drug user I was still able to achieve greatness by discovering who God is, 100's of true revelations about God & owning the title",0
"“Fantasy Politics”

TOLD YOU SO staged event by psychotic deluded schizophrenic filth infests Westminster to grab lucrative property

-Govt Level Public School Boy illicit money making scam
-Sleuth, to theses freaks it’s all a game
-OODildo in Casino Royale

#RussianSpyPoisoning https://t.co/mBhfYrtDZ2",2
"& all u do burdett is to force urself in my life...only when u die will u stop obsessing over me, wow psycho schizo burdett! !",2
"Bluetooth has robbed me of the ability to spot a schizophrenic from 50 paces. Technology is fabulous, so where’s my pancreas???",1
They may say I suffer from schizophrenia or something but homie you made me,0
"@Ian56789 This is just the 'white helmets' fake gas-attack, propaganda bullshit, transferred, & re-tailored for the traditionally gullible UK audience! A 'franchise' which psychotic Zionist-American lickspittle to the UN, Nikki Haley, suggests, intends sh",2
"@liamgallagher You have to be more professional, little expectation. With beady eye in argentina I miss singing for anyone! and in Uruguay you touched him maybe the pressure of the people makes you put schizophrenia",1
